epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4901,3.27835,35.0375,2.29213,0,0,0,0,2.22232,11.953,1.21062,6.668e-05,6.668e-05,6.668e-05
2,95.5706,2.18565,19.5836,1.37289,0,0,0,0,2.01428,10.1642,1.09653,0.000148545,0.000148545,0.000148545
3,130.569,1.61982,11.0736,1.04415,0,0,0,0,1.84068,9.43729,1.02592,0.000228759,0.000228759,0.000228759
4,166.347,2.04074,9.48722,1.13592,0.00101,0.13636,0.00058,0.0003,2.12035,9.04271,1.07089,0.000307323,0.000307323,0.000307323
5,203.151,2.44108,16.8624,1.15875,0,0,0,0,2.05418,9.90904,1.04702,0.000384237,0.000384237,0.000384237
6,245.388,2.21865,12.2253,1.03326,0.00037,0.04545,0.00019,0.00012,2.16467,9.58532,1.09228,0.0004595,0.0004595,0.0004595
7,299.81,1.74466,8.18437,1.07593,0,0,0,0,2.20006,8.83831,1.10146,0.000533113,0.000533113,0.000533113
8,343.709,1.77578,12.3508,1.23137,0,0,0,0,2.31142,8.63098,1.14138,0.000605076,0.000605076,0.000605076
9,385.335,1.80992,9.30616,1.09859,0,0,0,0,2.42976,8.80267,1.22372,0.000675388,0.000675388,0.000675388
10,422.738,1.90882,12.0524,1.1121,0,0,0,0,2.45938,9.16401,1.27218,0.00074405,0.00074405,0.00074405
11,468.267,2.11914,8.14779,1.13451,0,0,0,0,2.34381,9.49259,1.18099,0.000811062,0.000811062,0.000811062
12,505.866,1.94964,7.67505,1.22279,0.00042,0.04545,0.00031,0.00015,2.60353,8.93925,1.23422,0.000876424,0.000876424,0.000876424
13,543.453,2.37261,15.9125,1.07717,0.00044,0.04545,0.00035,0.00018,2.55819,8.96554,1.25984,0.000940135,0.000940135,0.000940135
14,584.909,2.17985,8.08933,1.3916,0.00145,0.13636,0.13563,0.04447,2.67241,8.99713,1.249,0.0010022,0.0010022,0.0010022
15,622.599,1.68797,6.76014,1.14177,0.00203,0.18182,0.13927,0.03972,2.32255,8.44344,1.21493,0.00106261,0.00106261,0.00106261
16,665.65,1.50173,7.48252,1.04757,0.00225,0.18182,0.14925,0.04403,2.34909,8.09841,1.20719,0.00112137,0.00112137,0.00112137
17,715.674,1.81875,12.1867,1.19636,0.79969,0.09091,0.12419,0.02887,2.42378,7.5445,1.2322,0.00117848,0.00117848,0.00117848
18,769.833,1.97157,8.0802,1.08974,0.58836,0.09091,0.10031,0.03128,2.42225,7.34166,1.26051,0.00123394,0.00123394,0.00123394
19,810.237,2.07205,7.65789,1.3025,0.32737,0.09091,0.05388,0.0163,2.30134,7.46939,1.2194,0.00128774,0.00128774,0.00128774
20,846.74,2.61564,15.8531,1.50942,0.71837,0.11911,0.15906,0.06128,2.25676,7.4441,1.17563,0.0013399,0.0013399,0.0013399
21,881.967,2.07803,7.57754,1.11134,0.6983,0.10816,0.13532,0.0446,2.35778,7.20872,1.26641,0.00133693,0.00133693,0.00133693
22,915.698,2.24673,7.98106,1.20464,0.69722,0.10757,0.14656,0.05245,2.353,7.10361,1.31612,0.00132043,0.00132043,0.00132043
23,950.392,1.90836,6.28689,1.3691,0.69613,0.10698,0.13823,0.05051,2.474,7.28834,1.35163,0.00130393,0.00130393,0.00130393
24,984.162,2.03746,6.86792,1.24698,0.55816,0.11734,0.1264,0.05444,2.57995,7.28695,1.30614,0.00128742,0.00128742,0.00128742
25,1018.61,2.3834,8.05877,1.20219,0.58154,0.09091,0.17865,0.06354,2.54372,6.49142,1.31078,0.00127092,0.00127092,0.00127092
26,1052.32,1.93021,6.00418,1.15926,0.45647,0.13636,0.15081,0.04794,2.61513,6.63778,1.26847,0.00125442,0.00125442,0.00125442
27,1085.11,1.91452,7.93023,1.29823,0.21019,0.18182,0.11008,0.0514,2.46616,6.36319,1.21963,0.00123791,0.00123791,0.00123791
28,1118.27,1.98315,5.78495,1.10294,0.53137,0.15633,0.20376,0.07478,2.30581,6.5403,1.14997,0.00122141,0.00122141,0.00122141
29,1151.62,1.51279,4.5389,1.11505,0.54359,0.18182,0.21031,0.08148,2.34533,6.39289,1.17072,0.00120491,0.00120491,0.00120491
30,1187.37,1.87659,4.83682,1.30756,0.58092,0.18182,0.23158,0.07577,2.43827,6.10865,1.16978,0.0011884,0.0011884,0.0011884
31,1223.55,1.74965,6.26468,1.02628,0.28586,0.18182,0.16646,0.06136,2.56306,5.71139,1.24601,0.0011719,0.0011719,0.0011719
32,1258,1.66529,5.79903,1.28293,0.51732,0.13636,0.13969,0.05045,2.55408,6.22866,1.17669,0.0011554,0.0011554,0.0011554
33,1292.39,1.91853,6.70568,1.01007,0.45918,0.18182,0.12319,0.04185,2.52711,7.11155,1.17924,0.00113889,0.00113889,0.00113889
34,1326.9,1.99261,5.3965,1.05679,0.73999,0.18182,0.19002,0.0631,2.497,6.02606,1.15543,0.00112239,0.00112239,0.00112239
35,1360.89,1.93118,5.58298,1.06475,0.76978,0.18182,0.2346,0.07562,2.37487,5.32331,1.18015,0.00110589,0.00110589,0.00110589
36,1394.61,1.74346,4.23603,1.12603,0.71768,0.13636,0.16999,0.08377,2.14825,5.08593,1.16714,0.00108938,0.00108938,0.00108938
37,1428.76,1.87216,5.13498,1.0734,0.9593,0.18182,0.25101,0.10023,2.07571,4.69416,1.15666,0.00107288,0.00107288,0.00107288
38,1463.32,1.48912,5.79824,1.06212,0.54712,0.22037,0.24554,0.09816,2.18064,4.59956,1.17728,0.00105638,0.00105638,0.00105638
39,1497.94,1.54366,3.18785,1.04614,0.7992,0.18109,0.24774,0.11367,2.17164,4.71304,1.13888,0.00103987,0.00103987,0.00103987
40,1533.47,1.53079,4.50283,1.0558,0.3564,0.22727,0.23755,0.10172,2.34228,4.60281,1.19074,0.00102337,0.00102337,0.00102337
41,1568.79,1.92451,5.1639,0.95934,0.43398,0.22727,0.2337,0.09522,2.33344,4.71578,1.14708,0.00100687,0.00100687,0.00100687
42,1603.23,1.53337,3.48937,1.01953,0.341,0.18182,0.22421,0.09035,2.32443,4.63279,1.10907,0.000990365,0.000990365,0.000990365
43,1636.8,1.81057,4.64322,1.07557,0.92293,0.13636,0.21295,0.09128,2.29791,4.63331,1.09341,0.000973861,0.000973861,0.000973861
44,1670.57,1.46324,3.23544,1.03886,0.28633,0.13636,0.16836,0.07801,2.33198,4.95514,1.13091,0.000957358,0.000957358,0.000957358
45,1703.49,1.67213,4.13437,1.13798,0.45136,0.22727,0.2438,0.09094,2.3136,4.84194,1.12919,0.000940855,0.000940855,0.000940855
46,1736.13,1.70817,3.48374,1.10884,0.46775,0.22727,0.16315,0.0631,2.35488,4.76624,1.1152,0.000924352,0.000924352,0.000924352
47,1768.7,1.60254,3.52446,1.05043,0.40637,0.22727,0.20988,0.08763,2.37388,4.57918,1.12617,0.000907848,0.000907848,0.000907848
48,1801.35,1.71731,3.16171,1.01136,0.82659,0.21807,0.29562,0.12776,2.44028,4.09933,1.17964,0.000891345,0.000891345,0.000891345
49,1834.27,1.52388,3.25124,1.01802,0.58328,0.27273,0.30792,0.11243,2.51247,4.04772,1.1359,0.000874842,0.000874842,0.000874842
50,1867.53,1.54923,2.61474,1.21044,0.53288,0.31159,0.27901,0.09703,2.57625,4.11903,1.17176,0.000858338,0.000858338,0.000858338
51,1900.36,1.35204,2.53513,1.00389,0.40209,0.27273,0.23193,0.09118,2.6149,3.96708,1.22461,0.000841835,0.000841835,0.000841835
52,1933.25,1.56772,2.8342,0.98873,0.48315,0.27273,0.26059,0.10328,2.66262,3.65021,1.24012,0.000825332,0.000825332,0.000825332
53,1965.42,1.66816,3.03124,1.01303,0.4523,0.30104,0.28019,0.10036,2.75432,3.70039,1.23379,0.000808828,0.000808828,0.000808828
54,1997.74,1.73082,3.52782,1.06126,0.4912,0.27273,0.27243,0.09084,2.75924,3.75553,1.20883,0.000792325,0.000792325,0.000792325
55,2029.83,1.37104,2.94653,1.05077,0.45359,0.27273,0.26412,0.09383,2.62663,3.6361,1.16543,0.000775822,0.000775822,0.000775822
56,2063.45,2.04181,4.26073,1.04982,0.42199,0.22727,0.22596,0.08153,2.47407,3.64731,1.13349,0.000759318,0.000759318,0.000759318
57,2096.2,1.54636,2.24191,1.08365,0.55929,0.18182,0.22579,0.08692,2.51647,3.71239,1.12247,0.000742815,0.000742815,0.000742815
58,2128.77,1.4995,2.71786,1.05934,0.4556,0.18182,0.19381,0.07854,2.5136,3.79598,1.10801,0.000726312,0.000726312,0.000726312
59,2161.37,1.46777,2.92984,0.94912,0.3138,0.22727,0.22507,0.08805,2.47471,3.926,1.11804,0.000709809,0.000709809,0.000709809
60,2194.15,1.48426,2.3961,1.02657,0.5042,0.22727,0.24736,0.09532,2.24043,3.7444,1.07664,0.000693305,0.000693305,0.000693305
61,2226.88,1.70861,5.75657,0.93098,0.54199,0.22727,0.25217,0.09291,2.22563,3.70152,1.06721,0.000676802,0.000676802,0.000676802
62,2259.38,1.58267,2.26067,1.07284,0.53543,0.22727,0.25256,0.08264,2.24401,3.68838,1.07037,0.000660299,0.000660299,0.000660299
